연도,행정동코드,동명,위도,경도,시간별평균생활인구수,시간별최대생활인구수
2020,11440680,합정동,37.547027,126.909029,22341.60961,32592.8675
2021,11440680,합정동,37.547027,126.909029,22081.80116,31053.7566
2022,11440680,합정동,37.547027,126.909029,22639.21315,39766.9757
2023,11440680,합정동,37.547027,126.909029,21687.01526,34511.0771
2024,11440680,합정동,37.547027,126.909029,19889.1485,39058.1213
2020,11440590,용강동,37.541502,126.940443,28579.98373,33174.0214
2021,11440590,용강동,37.541502,126.940443,29493.89222,35589.9602
2022,11440590,용강동,37.541502,126.940443,29779.29422,40651.8763
2023,11440590,용강동,37.541502,126.940443,25706.81255,38242.9511
2024,11440590,용강동,37.541502,126.940443,24309.30428,37062.9822
2020,11440610,염리동,37.549096,126.947307,12594.32519,16275.7798
2021,11440610,염리동,37.549096,126.947307,12472.9951,15929.7444
2022,11440610,염리동,37.549096,126.947307,12990.86373,17883.4228
2023,11440610,염리동,37.549096,126.947307,17264.6125,19932.7245
2024,11440610,염리동,37.549096,126.947307,17073.87717,20316.9105
2020,11440710,연남동,37.563027,126.921519,19552.89837,24668.1435
2021,11440710,연남동,37.563027,126.921519,19655.78663,26405.8736
2022,11440710,연남동,37.563027,126.921519,18501.75441,25129.8356
2023,11440710,연남동,37.563027,126.921519,17614.88772,26120.349
2024,11440710,연남동,37.563027,126.921519,17075.5096,29047.2969
2020,11440555,아현동,37.554474,126.956308,28257.48321,32956.4117
2021,11440555,아현동,37.554474,126.956308,26651.75399,33109.782
2022,11440555,아현동,37.554474,126.956308,25579.98299,33095.2648
2023,11440555,아현동,37.554474,126.956308,26615.98518,34103.2515
2024,11440555,아현동,37.554474,126.956308,28094.87036,34128.6178
2020,11440630,신수동,37.548524,126.936813,19115.03831,23041.1694
2021,11440630,신수동,37.548524,126.936813,18522.6643,23510.3294
2022,11440630,신수동,37.548524,126.936813,17754.40915,21194.113
2023,11440630,신수동,37.548524,126.936813,16770.11265,20100.6481
2024,11440630,신수동,37.548524,126.936813,16409.08684,21043.7335
2020,11440730,성산2동,37.56861,126.90896,36605.37061,42101.4128
2021,11440730,성산2동,37.56861,126.90896,35249.18781,42557.846
2022,11440730,성산2동,37.56861,126.90896,35683.51935,102466.7289
2023,11440730,성산2동,37.56861,126.90896,35279.65373,106601.8186
2024,11440730,성산2동,37.56861,126.90896,35308.17939,117752.3564
2020,11440720,성산1동,37.56338,126.90788,22772.26219,27995.4586
2021,11440720,성산1동,37.56338,126.90788,21653.54317,24917.8728
2022,11440720,성산1동,37.56338,126.90788,21513.40448,25037.0284
2023,11440720,성산1동,37.56338,126.90788,20998.08842,24994.2345
2024,11440720,성산1동,37.56338,126.90788,19713.5196,23296.4998
2020,11440660,서교동,37.553838,126.918765,67162.14169,131759.1781
2021,11440660,서교동,37.553838,126.918765,63294.38483,113560.693
2022,11440660,서교동,37.553838,126.918765,70843.94033,132417.581
2023,11440660,서교동,37.553838,126.918765,74865.61629,143431.5276
2024,11440660,서교동,37.553838,126.918765,73460.95398,143460.7691
2020,11440655,서강동,37.54778,126.932218,28289.14939,31787.0481
2021,11440655,서강동,37.54778,126.932218,26667.7727,30446.8635
2022,11440655,서강동,37.54778,126.932218,27333.41293,35007.5969
2023,11440655,서강동,37.54778,126.932218,27446.42046,42590.9684
2024,11440655,서강동,37.54778,126.932218,26778.7219,36007.8585
2020,11440740,상암동,37.570748,126.87984,48134.43644,72259.1871
2021,11440740,상암동,37.570748,126.87984,46672.2084,70207.9792
2022,11440740,상암동,37.570748,126.87984,47472.88196,73165.1639
2023,11440740,상암동,37.570748,126.87984,49318.6677,77058.2026
2024,11440740,상암동,37.570748,126.87984,48170.02322,75706.5471
2020,11440700,망원2동,37.56031,126.90232,18488.73571,23867.9105
2021,11440700,망원2동,37.56031,126.90232,17938.90486,22965.2824
2022,11440700,망원2동,37.56031,126.90232,16889.10483,22229.0232
2023,11440700,망원2동,37.56031,126.90232,16080.15436,21528.3077
2024,11440700,망원2동,37.56031,126.90232,15923.73246,21538.7247
2020,11440690,망원1동,37.55559,126.9056,19130.22776,22682.833
2021,11440690,망원1동,37.55559,126.9056,19711.27147,24144.0588
2022,11440690,망원1동,37.55559,126.9056,20056.25106,24446.3987
2023,11440690,망원1동,37.55559,126.9056,19483.44494,25979.0037
2024,11440690,망원1동,37.55559,126.9056,20429.32101,27455.3797
2020,11440585,도화동,37.539758,126.950007,22547.22045,25484.5329
2021,11440585,도화동,37.539758,126.950007,19925.95525,24765.2738
2022,11440585,도화동,37.539758,126.950007,16268.41984,26928.1916
2023,11440585,도화동,37.539758,126.950007,15461.3848,33743.9008
2024,11440585,도화동,37.539758,126.950007,17355.21142,38826.5059
2020,11440600,대흥동,37.549807,126.943177,21750.99614,30368.2661
2021,11440600,대흥동,37.549807,126.943177,20621.9409,28189.0697
2022,11440600,대흥동,37.549807,126.943177,22797.81869,31408.0852
2023,11440600,대흥동,37.549807,126.943177,24054.13881,34184.1998
2024,11440600,대흥동,37.549807,126.943177,22839.11487,34542.055
2020,11440565,공덕동,37.548092,126.954994,37683.17457,43282.8776
2021,11440565,공덕동,37.548092,126.954994,37838.82865,42637.3437
2022,11440565,공덕동,37.548092,126.954994,39257.59403,45336.3041
2023,11440565,공덕동,37.548092,126.954994,38634.19194,45872.3185
2024,11440565,공덕동,37.548092,126.954994,36013.79821,42382.4288
