연번,자치구명,도로명주소,세부위치,설치장소유형,수거쓰레기종류,형태,설치연도,수거담당자,데이터기준일자,Unnamed: 10,키워드,위도,경도
1.0,마포구,서울특별시 마포구 만리재로14,마포경찰서 교통센터 앞,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 마포경찰서 교통센터,37.544082842974,126.95309110806
2.0,마포구,서울특별시 마포구 백범로199,공덕역 6번 출구 뒤,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 공덕역,37.5445416897534,126.951451177648
3.0,마포구,서울특별시 마포구 백범로205,공덕 오거리 버스정류장(14-149),정류장(버스 택시 등),일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 공덕 오거리,37.5439759088286,126.951564700548
4.0,마포구,서울특별시 마포구 만리재로3,공덕역 5번 출구 옆 자전거보관소,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 공덕역,37.5445416897534,126.951451177648
5.0,마포구,서울특별시 마포구 마포대로25,마포대로25 화로연각 앞 (토정로방향),도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 마포대로25 화로연각,37.5393419041793,126.945018634046
6.0,마포구,서울특별시 마포구 아현동447-9,마포대로 버스정류장(14-008),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
7.0,마포구,서울특별시 마포구 아현동447-9,마포대로 버스정류장(14-008),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
8.0,마포구,서울특별시 마포구 마포대로207-1,마포대로 207-1 둘둘치킨 앞(애오개역 1번 출구),도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2021년 교체,환경공무관 1반,2025-03-06,,마포구 마포대로 207-1 둘둘치킨,37.53645790616446,126.96115630932462
9.0,마포구,서울특별시 마포구 마포대로212,애오개역 3번 출구 앞,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 애오개역,37.5534131497489,126.956669363197
10.0,마포구,서울특별시 마포구 마포대로212,애오개역 4번 출구 앞,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 애오개역,37.5534131497489,126.956669363197
11.0,마포구,서울특별시 마포구 마포대로233-1,마포대로 233-1 (아현초교 앞 횡단보도 앞),도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 마포대로 233-1,37.551019,126.955909
12.0,마포구,서울특별시 마포구 공덕동441-3,마포대로 버스정류장(14-003)(공덕역),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
13.0,마포구,서울특별시 마포구 공덕동237-9,마포대로 버스정류장(14-004)(공덕역),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
14.0,마포구,서울특별시 마포구 공덕동237-9,마포대로 버스정류장(14-004)(공덕역),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
15.0,마포구,서울특별시 마포구 마포대로114,마포대로 114번지 기업은행 앞(공덕역 4번출구 뒤),도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 마포대로 114번지 기업은행,37.54480772030833,126.95202810716869
16.0,마포구,서울특별시 마포구 공덕동237-9,마포대로 버스정류장(14-005),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
17.0,마포구,서울특별시 마포구 공덕동237-9,마포대로 버스정류장(14-006),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
18.0,마포구,서울특별시 마포구 아현동447-15,마포대로 버스정류장(14-007),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
19.0,마포구,서울특별시 마포구 아현동447-15,마포대로 버스정류장(14-007),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
20.0,마포구,서울특별시 마포구 독막로242,독막로 242 노기홍 사무소 앞,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 독막로 242,37.546572819317745,126.9402662647598
21.0,마포구,서울특별시 마포구 독막로241,독막로 241 노기홍 사무소 건너편,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 독막로 241,37.547710,126.933994
22.0,마포구,서울특별시 마포구 독막로221,독막로 221(신수동50-2) 정자나무 공원 앞,광장 등 다중집합장소,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 독막로 221 정자나무 공원,37.547180,126.931330
23.0,마포구,서울특별시 마포구 독막로192,독막로 192 신수동 주민센터 앞,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 독막로 192 신수동 주민센터,37.5470206619327,126.935226865858
24.0,마포구,서울특별시 마포구 마포대로61-1,마포대로 61-1 트라팰리스 앞 횡단보도,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 마포대로 61-1,37.541374102251986,126.94798625212687
25.0,마포구,서울특별시 마포구 마포대로33,마포대로 33 마포역 1번 출구,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 마포대로 33 마포역,37.53955402908912,126.94586257221307
26.0,마포구,서울특별시 마포구 도화동293-1,마포대로 버스정류장(14-001)(가든호텔 앞),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
27.0,마포구,서울특별시 마포구 도화동293-1,마포대로 버스정류장(14-001)(가든호텔 앞),정류장(버스 택시 등),일반쓰레기,항아리형 쓰레기통,2018년 이전,서울시 ,2025-03-06,,마포구 마포대로,37.542776792633845,126.94968259053644
28.0,마포구,서울특별시 마포구 마포대로20,마포대로 20(마포역 4번 출구),도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 마포대로 20,37.538419257232,126.944969526554
29.0,마포구,서울특별시 마포구 신촌로174,신촌로 174 중우빌딩 횡단보도 옆,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 신촌로 174 중우빌딩,37.5564644837822,126.945019637135
30.0,마포구,서울특별시 마포구 신촌로174,신촌로 174 중우빌딩 횡단보도 옆,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 신촌로 174 중우빌딩,37.5564644837822,126.945019637135
31.0,마포구,서울특별시 마포구 신촌로110,신촌로 110 웨스턴동물의료센터 신촌역 5번출구,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 신촌로 110 신촌역,37.556541,126.936155
32.0,마포구,서울특별시 마포구 노고산동112-5,노고산동 112-5 서강대역 2번 출구 자전거대여소 앞,지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2019년 설치,환경공무관 1반,2025-03-06,,마포구 노고산동 112-5 서강대역 자전거대여소,37.552429,126.939136
33.0,마포구,서울특별시 마포구 창전동242,광흥창역 2번 출구 앞(창전동242),지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 광흥창역,37.54748648317645,126.93202965599583
34.0,마포구,서울특별시 마포구 백범로95,대흥역 2번 출구 앞(삼성공인중개사 앞),지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 대흥역,37.5476479056751,126.942473188734
35.0,마포구,서울특별시 마포구 공덕동257-88,공덕역 2번 출구 롯데캐슬 택시정류장 앞(공덕동 257-88),정류장(버스 택시 등),일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 공덕역 롯데캐슬,37.544831515227095,126.95073583557456
36.0,마포구,서울특별시 마포구 공덕동435-12,공덕역 1번 출구 자전거 보관소 앞(공덕동435-12),지하철역 입구,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 공덕역,37.5445416897534,126.951451177648
37.0,마포구,서울특별시 마포구 백범로122,백범로 122 풍천민물장어 앞,도로(가로)변,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 백범로 122 풍천민물장어,37.5465243896146,126.944415875209
38.0,마포구,서울특별시 마포구 만리재로83-1,만리재로 83-1 앞 버스정류장(14-145),정류장(버스 택시 등),일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 만리재로 83-1,37.5481917136022,126.958763626643
39.0,마포구,서울특별시 마포구 만리재로88,만리재로 88 앞 버스정류장(14-146),정류장(버스 택시 등),일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 만리재로 88,37.54810446769104,126.95919821774082
40.0,마포구,서울특별시 마포구 창전로32,서강나루공원 횡단보도 앞,광장 등 다중집합장소,일반쓰레기,일반 사각 쓰레기통,2018년 이전,환경공무관 1반,2025-03-06,,마포구 서강나루공원,37.545274862348535,126.93104718980615
