구분,공덕동,도화동,구 서교동,상암동,서강동,성산2동,합정동,대흥동,신수동,구 동교동,연남동,망원1동,망원2동,성산1동,염리동,아현동,용강동,합계
2012,6657.68,3551.32,11488.87,3685.6675,4011.6775,6332.9274,4295.4574,3957.765,3177.065,8587.245,3121.065,3825.305,4027.705,4075.285,2655.405,3786.025,3182.385,80418.8498
2013,6796.58,3405,11487.75,3872.755,4498.925,6134.605,4286.405,4022.7825,3140.8625,8029.6625,3617.0525,4145.24,3766.38,3784.83,2710.27,3920.32,3233.12,80852.54
2014,6413.38,3408.54,13869.92,4136.3676,4270.1175,5556.6975,4324.7676,4344.04,3275.26,8462.25,4165,4386.641,4183.041,3991.791,2394.841,4225.861,3008.21,84416.7252
2015,6597.19,3338.3,13823.89,5055.49,4634.95,4778.61,4950.52,3919,2686,9060,3944,4393.23,4069.35,3869.66,2404.32,4259.76,3380.5,85164.77
2016,7060.83,4003.65,14093.97,5616,4845,6256,5122,3695,3325,9002,4864,5438.83,4425.59,4806.884,2398.43,4472.8,3346.54,92772.524
2017,7673.03,3534.54,11678.22,5787,4350,6204,4995,3057.18,3092.59,8568.68,4534.12,4621.17,4173.41,4023.34,2032.32,3833.16,3339.79,85497.55
2018,7319.14,3633.27,12445.74,6734.79,3705.92,6842.71,4818.03,3030,3103,8923,4845,4542.399,4539.01,4385.956,2404.209,3227.029,3496.174,87995.377
2019,7390.06,3570.35,13304.85,6585.85,3989.64,6974.33,5899.38,3229.98,3482.52,8959.26,5706.13,4952.644,4721.951,5012.55,2604.81,3888.742,3769.253,94042.3
2020,7820.79,3915.2,12008.55,7081.16,3723.61,6855.763,6392.09,3438.52,3590.57,8239.02,5750.98,5264.31,5341.678,5400.309,2772.197,4171.377,3773.155,95539.279
2021,7854.94,4652.9,10730.2,6991.38,3618.7,6649.76,6781.49,4017.2,4933.04,6477.42,7427.89,4747.61,4451.1,4660.79,3375.38,4457.16,4692.24,96840.44
